,replay_dir_path,replay_url,size,status,match_id
0,D:dota_replay/Air Defence/20260427/,http://replay185.valve.net/570/8787493899_1328144780.dem.bz2,63.05395793914795,toDo,8787493899.0
1,D:dota_replay/Air Defence/20260426/,http://replay184.valve.net/570/8786169036_2110978369.dem.bz2,56.297892570495605,toDo,8786169036.0
2,D:dota_replay/Air Defence/20260426/,http://replay185.valve.net/570/8786106593_779521834.dem.bz2,40.16373634338379,toDo,8786106593.0
3,D:dota_replay/Air Defence/20260426/,http://replay184.valve.net/570/8786047822_1229465183.dem.bz2,31.31026268005371,toDo,8786047822.0
4,D:dota_replay/Air Defence/20260426/,http://replay181.valve.net/570/8785939727_536817191.dem.bz2,56.62298393249512,toDo,8785939727.0
5,D:dota_replay/Air Defence/20260425/,http://replay185.valve.net/570/8785843106_2144526079.dem.bz2,56.632219314575195,toDo,8785843106.0
6,D:dota_replay/Air Defence/20260423/,http://replay184.valve.net/570/8782877140_665173698.dem.bz2,41.39134216308594,toDo,8782877140.0
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
