,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,D:dota_replay/BloodyRose/20260426/,http://replay185.valve.net/570/8786925835_1587940264.dem.bz2,36.40755653381348,toDo,8786925835
1,1.0,1.0,1.0,1.0,1.0,1.0,D:dota_replay/BloodyRose/20260426/,http://replay182.valve.net/570/8786852394_1265839580.dem.bz2,60.35959339141846,toDo,8786852394
2,2.0,2.0,2.0,2.0,2.0,2.0,D:dota_replay/BloodyRose/20260425/,http://replay185.valve.net/570/8785482351_1630230766.dem.bz2,22.74915981292725,toDo,8785482351
3,3.0,3.0,3.0,3.0,3.0,3.0,D:dota_replay/BloodyRose/20260425/,http://replay181.valve.net/570/8785432234_1414218707.dem.bz2,40.077609062194824,toDo,8785432234
4,4.0,4.0,4.0,4.0,4.0,4.0,D:dota_replay/BloodyRose/20260425/,http://replay181.valve.net/570/8785327620_950487601.dem.bz2,46.64004230499267,toDo,8785327620
5,5.0,5.0,5.0,5.0,5.0,5.0,D:dota_replay/BloodyRose/20260425/,http://replay183.valve.net/570/8785274198_1860402467.dem.bz2,38.85801124572754,toDo,8785274198
6,6.0,6.0,6.0,6.0,6.0,6.0,D:dota_replay/BloodyRose/20260424/,http://replay186.valve.net/570/8783900137_1240408940.dem.bz2,48.71013069152832,toDo,8783900137
7,7.0,7.0,7.0,7.0,7.0,7.0,D:dota_replay/BloodyRose/20260424/,http://replay186.valve.net/570/8783859260_1199824353.dem.bz2,48.672080993652344,toDo,8783859260
8,8.0,8.0,8.0,8.0,8.0,8.0,D:dota_replay/BloodyRose/20260423/,http://replay185.valve.net/570/8782845762_774823476.dem.bz2,68.05321502685547,toDo,8782845762
9,9.0,9.0,9.0,9.0,9.0,9.0,D:dota_replay/BloodyRose/20260423/,http://replay185.valve.net/570/8782786363_715739103.dem.bz2,47.633490562438965,toDo,8782786363
10,10.0,10.0,10.0,10.0,10.0,10.0,D:dota_replay/BloodyRose/20260423/,http://replay183.valve.net/570/8782722935_2091536247.dem.bz2,53.173672676086426,toDo,8782722935
11,11.0,11.0,11.0,11.0,11.0,11.0,D:dota_replay/BloodyRose/20260422/,http://replay184.valve.net/570/8781410967_218797173.dem.bz2,58.50802230834961,toDo,8781410967
12,12.0,12.0,12.0,12.0,12.0,12.0,D:dota_replay/BloodyRose/20260422/,http://replay185.valve.net/570/8781380057_48145059.dem.bz2,34.47700309753418,toDo,8781380057
13,13.0,13.0,13.0,13.0,13.0,13.0,D:dota_replay/BloodyRose/20260421/,http://replay181.valve.net/570/8780261154_653288298.dem.bz2,53.40702152252197,toDo,8780261154
