,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,D:dota_replay/GamerLegion/20260422/,http://replay193.valve.net/570/8781366014_1298419084.dem.bz2,124.02224826812744,toDo,8781366014
1,1.0,1.0,1.0,1.0,1.0,1.0,D:dota_replay/GamerLegion/20260422/,http://replay193.valve.net/570/8781318601_1093289967.dem.bz2,119.6089687347412,toDo,8781318601
2,2.0,2.0,2.0,2.0,2.0,2.0,D:dota_replay/GamerLegion/20260421/,http://replay191.valve.net/570/8780224945_2085050209.dem.bz2,118.50783157348631,toDo,8780224945
3,3.0,3.0,3.0,3.0,3.0,3.0,D:dota_replay/GamerLegion/20260421/,http://replay191.valve.net/570/8780159415_702194923.dem.bz2,153.67918395996094,toDo,8780159415
4,4.0,4.0,4.0,4.0,4.0,4.0,D:dota_replay/GamerLegion/20260420/,http://replay191.valve.net/570/8778896415_1295672435.dem.bz2,115.74126434326172,toDo,8778896415
5,5.0,5.0,5.0,5.0,5.0,5.0,D:dota_replay/GamerLegion/20260420/,http://replay193.valve.net/570/8778849866_1766312312.dem.bz2,116.55824184417725,toDo,8778849866
6,6.0,6.0,6.0,6.0,6.0,6.0,D:dota_replay/GamerLegion/20260419/,http://replay191.valve.net/570/8777738576_1225442973.dem.bz2,87.48902988433838,toDo,8777738576
7,7.0,7.0,7.0,7.0,7.0,7.0,D:dota_replay/GamerLegion/20260419/,http://replay192.valve.net/570/8777652578_1190016961.dem.bz2,87.22215175628662,toDo,8777652578
8,8.0,8.0,8.0,8.0,8.0,8.0,D:dota_replay/GamerLegion/20260418/,http://replay191.valve.net/570/8776236178_1637144210.dem.bz2,130.82929515838623,toDo,8776236178
9,9.0,9.0,9.0,9.0,9.0,9.0,D:dota_replay/GamerLegion/20260418/,http://replay193.valve.net/570/8776157596_832146265.dem.bz2,113.2708330154419,toDo,8776157596
10,10.0,10.0,10.0,10.0,10.0,10.0,D:dota_replay/GamerLegion/20260418/,http://replay191.valve.net/570/8776077999_1499747594.dem.bz2,132.6670684814453,toDo,8776077999
11,11.0,11.0,11.0,11.0,11.0,11.0,D:dota_replay/GamerLegion/20260415/,http://replay121.valve.net/570/8771950914_601524153.dem.bz2,91.48240566253662,toDo,8771950914
12,12.0,12.0,12.0,12.0,12.0,12.0,D:dota_replay/GamerLegion/20260415/,http://replay122.valve.net/570/8771908040_2018275309.dem.bz2,43.55918025970459,toDo,8771908040
13,13.0,13.0,13.0,13.0,13.0,13.0,D:dota_replay/GamerLegion/20260415/,http://replay122.valve.net/570/8771849856_132180947.dem.bz2,44.71614646911621,toDo,8771849856
14,14.0,14.0,14.0,14.0,14.0,14.0,D:dota_replay/GamerLegion/20260414/,http://replay122.valve.net/570/8770372144_812156033.dem.bz2,52.372334480285645,toDo,8770372144
15,15.0,15.0,15.0,15.0,15.0,15.0,D:dota_replay/GamerLegion/20260414/,http://replay122.valve.net/570/8770282236_1850756633.dem.bz2,40.769028663635254,toDo,8770282236
16,16.0,16.0,16.0,16.0,16.0,16.0,D:dota_replay/GamerLegion/20260411/,http://replay273.valve.net/570/8766168681_821932229.dem.bz2,107.50970935821532,toDo,8766168681
17,17.0,17.0,17.0,17.0,17.0,17.0,D:dota_replay/GamerLegion/20260411/,http://replay274.valve.net/570/8766089530_2147148251.dem.bz2,55.551780700683594,toDo,8766089530
18,18.0,18.0,18.0,18.0,18.0,18.0,D:dota_replay/GamerLegion/20260411/,http://replay274.valve.net/570/8765976782_594352299.dem.bz2,80.68599605560303,toDo,8765976782
19,19.0,19.0,19.0,19.0,19.0,19.0,D:dota_replay/GamerLegion/20260410/,http://replay273.valve.net/570/8765688078_733156141.dem.bz2,56.22723865509033,toDo,8765688078
20,20.0,20.0,20.0,20.0,20.0,20.0,D:dota_replay/GamerLegion/20260410/,http://replay271.valve.net/570/8765597299_463898436.dem.bz2,70.21311283111572,toDo,8765597299
21,21.0,21.0,21.0,21.0,21.0,21.0,D:dota_replay/GamerLegion/20260410/,http://replay272.valve.net/570/8765478656_1304017857.dem.bz2,49.623064041137695,toDo,8765478656
22,22.0,22.0,22.0,22.0,22.0,22.0,D:dota_replay/GamerLegion/20260409/,http://replay273.valve.net/570/8764045768_943907404.dem.bz2,78.98706340789795,toDo,8764045768
23,23.0,23.0,23.0,23.0,23.0,23.0,D:dota_replay/GamerLegion/20260409/,http://replay272.valve.net/570/8763984403_256316151.dem.bz2,68.50453281402588,toDo,8763984403
24,24.0,24.0,24.0,24.0,24.0,24.0,D:dota_replay/GamerLegion/20260409/,http://replay272.valve.net/570/8763938696_2022726215.dem.bz2,54.1953763961792,toDo,8763938696
25,25.0,25.0,25.0,25.0,25.0,25.0,D:dota_replay/GamerLegion/20260408/,http://replay273.valve.net/570/8762725627_1637034090.dem.bz2,89.81111145019531,toDo,8762725627
26,26.0,26.0,26.0,26.0,26.0,26.0,D:dota_replay/GamerLegion/20260408/,http://replay271.valve.net/570/8762670913_983222438.dem.bz2,60.345306396484375,toDo,8762670913
27,27.0,27.0,27.0,27.0,27.0,27.0,D:dota_replay/GamerLegion/20260407/,http://replay273.valve.net/570/8761588726_1609846883.dem.bz2,49.07706928253174,toDo,8761588726
