,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D:dota_replay/MOUZ/20260422/,http://replay193.valve.net/570/8781560526_1222205560.dem.bz2,155.596905708313,toDo,8781560526
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D:dota_replay/MOUZ/20260422/,http://replay192.valve.net/570/8781484100_1283166294.dem.bz2,149.88608169555664,toDo,8781484100
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,D:dota_replay/MOUZ/20260422/,http://replay192.valve.net/570/8781428124_1002213378.dem.bz2,124.62035655975342,toDo,8781428124
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,D:dota_replay/MOUZ/20260421/,http://replay191.valve.net/570/8780527869_1620952906.dem.bz2,86.02134418487549,toDo,8780527869
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D:dota_replay/MOUZ/20260421/,http://replay191.valve.net/570/8780428772_1836752976.dem.bz2,88.47058200836182,toDo,8780428772
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,D:dota_replay/MOUZ/20260421/,http://replay191.valve.net/570/8780342142_540879188.dem.bz2,82.63012981414795,toDo,8780342142
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,D:dota_replay/MOUZ/20260421/,http://replay192.valve.net/570/8779658823_723020252.dem.bz2,74.05247592926025,toDo,8779658823
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,D:dota_replay/MOUZ/20260421/,http://replay193.valve.net/570/8779574003_135616114.dem.bz2,95.89119148254396,toDo,8779574003
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,D:dota_replay/MOUZ/20260421/,http://replay193.valve.net/570/8779491334_1657941892.dem.bz2,84.14861488342285,toDo,8779491334
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,D:dota_replay/MOUZ/20260419/,http://replay191.valve.net/570/8777738576_1225442973.dem.bz2,87.48902988433838,toDo,8777738576
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,D:dota_replay/MOUZ/20260419/,http://replay192.valve.net/570/8777652578_1190016961.dem.bz2,87.22215175628662,toDo,8777652578
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,D:dota_replay/MOUZ/20260418/,http://replay191.valve.net/570/8776432038_1389634367.dem.bz2,129.7314968109131,toDo,8776432038
