,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,D:dota_replay/Team Falcons/20260421/,http://replay191.valve.net/570/8780224945_2085050209.dem.bz2,118.50783157348631,toDo,8780224945
1,1.0,1.0,1.0,1.0,1.0,1.0,D:dota_replay/Team Falcons/20260421/,http://replay191.valve.net/570/8780159415_702194923.dem.bz2,153.67918395996094,toDo,8780159415
2,2.0,2.0,2.0,2.0,2.0,2.0,D:dota_replay/Team Falcons/20260420/,http://replay192.valve.net/570/8779265864_194247367.dem.bz2,113.79716682434082,toDo,8779265864
3,3.0,3.0,3.0,3.0,3.0,3.0,D:dota_replay/Team Falcons/20260420/,http://replay191.valve.net/570/8779155491_1505840122.dem.bz2,141.3474187850952,toDo,8779155491
4,4.0,4.0,4.0,4.0,4.0,4.0,D:dota_replay/Team Falcons/20260420/,http://replay191.valve.net/570/8779067796_1687717202.dem.bz2,130.51703071594238,toDo,8779067796
5,5.0,5.0,5.0,5.0,5.0,5.0,D:dota_replay/Team Falcons/20260419/,http://replay191.valve.net/570/8778045350_587344577.dem.bz2,135.32007694244385,toDo,8778045350
6,6.0,6.0,6.0,6.0,6.0,6.0,D:dota_replay/Team Falcons/20260419/,http://replay193.valve.net/570/8777936470_534430241.dem.bz2,105.22134113311768,toDo,8777936470
7,7.0,7.0,7.0,7.0,7.0,7.0,D:dota_replay/Team Falcons/20260419/,http://replay192.valve.net/570/8777800049_1560038290.dem.bz2,156.6220703125,toDo,8777800049
8,8.0,8.0,8.0,8.0,8.0,8.0,D:dota_replay/Team Falcons/20260419/,http://replay192.valve.net/570/8776664516_1113233037.dem.bz2,109.90093326568604,toDo,8776664516
9,9.0,9.0,9.0,9.0,9.0,9.0,D:dota_replay/Team Falcons/20260418/,http://replay191.valve.net/570/8776543835_209682100.dem.bz2,143.70834732055664,toDo,8776543835
10,10.0,10.0,10.0,10.0,10.0,10.0,D:dota_replay/Team Falcons/20260328/,http://replay273.valve.net/570/8746313247_2045023391.dem.bz2,100.99324798583984,toDo,8746313247
11,11.0,11.0,11.0,11.0,11.0,11.0,D:dota_replay/Team Falcons/20260328/,http://replay271.valve.net/570/8746216605_42663883.dem.bz2,105.34774208068848,toDo,8746216605
12,12.0,12.0,12.0,12.0,12.0,12.0,D:dota_replay/Team Falcons/20260326/,http://replay274.valve.net/570/8743555498_1245713116.dem.bz2,128.47823429107666,toDo,8743555498
13,13.0,13.0,13.0,13.0,13.0,13.0,D:dota_replay/Team Falcons/20260325/,http://replay271.valve.net/570/8743439271_1066984467.dem.bz2,126.8640365600586,toDo,8743439271
14,14.0,14.0,14.0,14.0,14.0,14.0,D:dota_replay/Team Falcons/20260325/,http://replay272.valve.net/570/8742496748_1186028725.dem.bz2,148.03453063964844,toDo,8742496748
15,15.0,15.0,15.0,15.0,15.0,15.0,D:dota_replay/Team Falcons/20260325/,http://replay273.valve.net/570/8742432109_498351986.dem.bz2,130.3430233001709,toDo,8742432109
16,16.0,16.0,16.0,16.0,16.0,16.0,D:dota_replay/Team Falcons/20260325/,http://replay271.valve.net/570/8742349274_538179086.dem.bz2,55.56601810455322,toDo,8742349274
17,17.0,17.0,17.0,17.0,17.0,17.0,D:dota_replay/Team Falcons/20260325/,http://replay271.valve.net/570/8742267069_1027230544.dem.bz2,66.16074180603027,toDo,8742267069
18,18.0,18.0,18.0,18.0,18.0,18.0,D:dota_replay/Team Falcons/20260324/,http://replay272.valve.net/570/8741330468_1238160408.dem.bz2,130.78891277313232,toDo,8741330468
19,19.0,19.0,19.0,19.0,19.0,19.0,D:dota_replay/Team Falcons/20260324/,http://replay273.valve.net/570/8741280965_903094477.dem.bz2,113.66107845306396,toDo,8741280965
20,20.0,20.0,20.0,20.0,20.0,20.0,D:dota_replay/Team Falcons/20260324/,http://replay272.valve.net/570/8741191435_1053302594.dem.bz2,102.37040519714355,toDo,8741191435
21,21.0,21.0,21.0,21.0,21.0,21.0,D:dota_replay/Team Falcons/20260324/,http://replay274.valve.net/570/8741101264_698922080.dem.bz2,139.2831106185913,toDo,8741101264
22,22.0,22.0,22.0,22.0,22.0,22.0,D:dota_replay/Team Falcons/20260323/,http://replay273.valve.net/570/8740094561_1190334172.dem.bz2,107.7606077194214,toDo,8740094561
