,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D:dota_replay/Teiko/20260423/,http://replay184.valve.net/570/8782545181_2006939631.dem.bz2,44.10673809051514,toDo,8782545181.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D:dota_replay/Teiko/20260423/,http://replay186.valve.net/570/8782495542_1258407117.dem.bz2,52.12963390350342,toDo,8782495542.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,D:dota_replay/Teiko/20260423/,http://replay185.valve.net/570/8782458265_1152790454.dem.bz2,61.93197727203369,toDo,8782458265.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,D:dota_replay/Teiko/20260421/,http://replay182.valve.net/570/8780011149_1236448451.dem.bz2,49.54947853088379,toDo,8780011149.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D:dota_replay/Teiko/20260418/,http://replay181.valve.net/570/8775977371_1357934146.dem.bz2,48.20392990112305,toDo,8775977371.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,D:dota_replay/Teiko/20260418/,http://replay184.valve.net/570/8775922536_843397929.dem.bz2,46.063857078552246,toDo,8775922536.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,D:dota_replay/Teiko/20260418/,http://replay184.valve.net/570/8775409015_594066941.dem.bz2,44.83016014099121,toDo,8775409015.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,D:dota_replay/Teiko/20260417/,http://replay185.valve.net/570/8774519913_2000157927.dem.bz2,45.731414794921875,toDo,8774519913.0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,D:dota_replay/Teiko/20260416/,http://replay184.valve.net/570/8773027499_47155196.dem.bz2,46.18955135345459,toDo,8773027499.0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,D:dota_replay/Teiko/20260416/,http://replay182.valve.net/570/8772930238_13300736.dem.bz2,102.23090362548828,toDo,8772930238.0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,D:dota_replay/Teiko/20260415/,http://replay182.valve.net/570/8772231847_814166417.dem.bz2,41.8831205368042,toDo,8772231847.0
