,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,D:dota_replay/Vici Gaming/20260421/,http://replay193.valve.net/570/8780270320_428409415.dem.bz2,77.86981105804443,toDo,8780270320.0
1,1.0,1.0,1.0,1.0,1.0,1.0,D:dota_replay/Vici Gaming/20260421/,http://replay192.valve.net/570/8780212309_271631196.dem.bz2,79.56845569610596,toDo,8780212309.0
2,2.0,2.0,2.0,2.0,2.0,2.0,D:dota_replay/Vici Gaming/20260420/,http://replay193.valve.net/570/8778960929_519023598.dem.bz2,59.44625282287598,toDo,8778960929.0
3,3.0,3.0,3.0,3.0,3.0,3.0,D:dota_replay/Vici Gaming/20260420/,http://replay192.valve.net/570/8778912772_486443434.dem.bz2,93.69306564331056,toDo,8778912772.0
4,4.0,4.0,4.0,4.0,4.0,4.0,D:dota_replay/Vici Gaming/20260420/,http://replay192.valve.net/570/8778849893_1864016028.dem.bz2,141.27175903320312,toDo,8778849893.0
5,5.0,5.0,5.0,5.0,5.0,5.0,D:dota_replay/Vici Gaming/20260419/,http://replay193.valve.net/570/8777570720_518104991.dem.bz2,96.07429218292236,toDo,8777570720.0
6,6.0,6.0,6.0,6.0,6.0,6.0,D:dota_replay/Vici Gaming/20260419/,http://replay191.valve.net/570/8777492128_1528793247.dem.bz2,101.94054985046388,toDo,8777492128.0
7,7.0,7.0,7.0,7.0,7.0,7.0,D:dota_replay/Vici Gaming/20260419/,http://replay191.valve.net/570/8777439091_710390628.dem.bz2,70.95658588409424,toDo,8777439091.0
8,8.0,8.0,8.0,8.0,8.0,8.0,D:dota_replay/Vici Gaming/20260418/,http://replay193.valve.net/570/8776094912_565661268.dem.bz2,84.78543949127197,toDo,8776094912.0
9,9.0,9.0,9.0,9.0,9.0,9.0,D:dota_replay/Vici Gaming/20260418/,http://replay192.valve.net/570/8776009613_1665242745.dem.bz2,125.18522453308104,toDo,8776009613.0
10,10.0,10.0,10.0,10.0,10.0,10.0,D:dota_replay/Vici Gaming/20260418/,http://replay192.valve.net/570/8775954955_973171986.dem.bz2,83.18375205993652,toDo,8775954955.0
11,11.0,11.0,11.0,11.0,11.0,11.0,D:dota_replay/Vici Gaming/20260414/,http://replay225.valve.net/570/8771072179_1458379470.dem.bz2,97.9384708404541,toDo,8771072179.0
12,12.0,12.0,12.0,12.0,12.0,12.0,D:dota_replay/Vici Gaming/20260414/,http://replay225.valve.net/570/8771037293_2045192738.dem.bz2,67.7296371459961,toDo,8771037293.0
13,13.0,13.0,13.0,13.0,13.0,13.0,D:dota_replay/Vici Gaming/20260414/,http://replay225.valve.net/570/8771000125_1355272714.dem.bz2,52.33560562133789,toDo,8771000125.0
